type,n,td_rate,int_rate,fumble_rate,turnover_rate,avg_epa
pass,1122,49.465240641711226,1.4298480786416443,0.3574620196604111,1.7825311942959003,-0.05486362144504963
run,2801,55.69439485897894,0.0,1.3566583363084612,1.3566583363084612,0.03541955228522001
